comp_name               IP_address
wicon27.gs.doi.net     130.11.177.99
wicon26.gs.doi.net     130.11.177.98
wicon25.gs.doi.net     130.11.177.97
wicon24.gs.doi.net     130.11.177.96
wicon23.gs.doi.net     130.11.177.95
wicon22.gs.doi.net     130.11.177.94
wicon21.gs.doi.net     130.11.177.93
wicon20.gs.doi.net     130.11.177.92
wicon19.gs.doi.net     130.11.177.91
wicon18.gs.doi.net     130.11.177.90
wicon17.gs.doi.net     130.11.177.89
wicon16.gs.doi.net     130.11.177.88
wicon15.gs.doi.net     130.11.177.87
wicon14.gs.doi.net     130.11.177.86
wicon13.gs.doi.net     130.11.177.85
wicon12.gs.doi.net     130.11.177.84
wicon11.gs.doi.net     130.11.177.83
wicon10.gs.doi.net     130.11.177.82
wicon9.gs.doi.net     130.11.177.81
wicon8.gs.doi.net     130.11.177.80
wicon7.gs.doi.net     130.11.177.79
wicon6.gs.doi.net     130.11.177.78
wicon5.gs.doi.net     130.11.177.77
wicon4.gs.doi.net     130.11.177.76
wicon3.gs.doi.net     130.11.177.75
wicon2.gs.doi.net     130.11.177.74
wicon1.gs.doi.net     130.11.177.73
igsarmewfsm00.gs.doi.net     130.11.177.100
igsarmewwsm01.gs.doi.net     130.11.177.101
igsarmewwsm02.gs.doi.net     130.11.177.102
igsarmewwsm03.gs.doi.net     130.11.177.103
igsarmewwsm04.gs.doi.net     130.11.177.104
igsarmewwsm05.gs.doi.net     130.11.177.105
igsarmewwsm06.gs.doi.net     130.11.177.106
igsarmewwsm07.gs.doi.net     130.11.177.107
igsarmewwsm08.gs.doi.net     130.11.177.108
igsarmewwsm09.gs.doi.net     130.11.177.109
igsarmewwsm10.gs.doi.net     130.11.177.110
igsarmewwsm11.gs.doi.net     130.11.177.111
igsarmewwsm12.gs.doi.net     130.11.177.112
igsarmewwsm13.gs.doi.net     130.11.177.113
igsarmewwsm14.gs.doi.net     130.11.177.114
igsarmewwsm15.gs.doi.net     130.11.177.115
igsarmewwsm16.gs.doi.net     130.11.177.116
igsarmewwsm17.gs.doi.net     130.11.177.117
igsarmewwsm18.gs.doi.net     130.11.177.118
igsarmewwsm19.gs.doi.net     130.11.177.119
igsarmewwsm20.gs.doi.net     130.11.177.120
igsarmewwsm21.gs.doi.net     130.11.177.121
igsarmewwsm22.gs.doi.net     130.11.177.122
igsarmewwsm23.gs.doi.net     130.11.177.123
igsarmewwsm24.gs.doi.net     130.11.177.124
igsarmewwsm25.gs.doi.net     130.11.177.125
igsarmewwsm26.gs.doi.net     130.11.177.126
igsarmewwsm27.gs.doi.net     130.11.177.127
igsarmewwsm28.gs.doi.net     130.11.177.128
igsarmewwsm29.gs.doi.net     130.11.177.129
igsarmewwsm30.gs.doi.net     130.11.177.130
igsarmewwsm31.gs.doi.net     130.11.177.131
igsarmewwsm32.gs.doi.net     130.11.177.132
igsarmewwsm33.gs.doi.net     130.11.177.133
